scenario_id,has_lesion,lesion_size_mm,lesion_x,lesion_y,lesion_z,epsilon_variation,sigma_variation,coupling_thickness,noise_level,split,group,size_bucket,region,shape,epsilon_anomaly_variation,sigma_anomaly_variation,head_scale,head_rotation_deg,analysis_profile
1,0,0.0,0.0,0.0,0.0,-0.3319,0.8813,0.02,high,train,N1_baseline,none,none,none,0.0,0.0,1.1000,-5.0000,varied
2,0,0.0,0.0,0.0,0.0,-0.256,-1.8963,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,1.0500,-5.0000,varied
3,0,0.0,0.0,0.0,0.0,0.2032,0.8326,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,1.0000,-5.0000,varied
4,0,0.0,0.0,0.0,0.0,1.8681,0.1889,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,1.0000,15.0000,varied
5,0,0.0,0.0,0.0,0.0,-1.112,1.4829,0.02,high,train,N1_baseline,none,none,none,0.0,0.0,1.0000,-15.0000,varied
6,0,0.0,0.0,0.0,0.0,1.5714,-0.6721,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,0.9000,15.0000,varied
7,0,0.0,0.0,0.0,0.0,-1.6948,1.1197,0.02,high,train,N1_baseline,none,none,none,0.0,0.0,1.0000,10.0000,varied
8,0,0.0,0.0,0.0,0.0,1.4937,1.8742,0.02,low,test,N1_baseline,none,none,none,0.0,0.0,1.0000,0.0000,baseline_nominal
9,0,0.0,0.0,0.0,0.0,-1.9585,0.0075,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,0.9500,0.0000,varied
10,0,0.0,0.0,0.0,0.0,1.0853,-1.917,0.02,high,train,N1_baseline,none,none,none,0.0,0.0,1.0500,-15.0000,varied
11,0,0.0,0.0,0.0,0.0,-1.2789,-1.9221,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,0.9500,-15.0000,varied
12,0,0.0,0.0,0.0,0.0,-1.3833,0.9602,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,0.9500,10.0000,varied
13,0,0.0,0.0,0.0,0.0,1.1108,-1.0498,0.02,low,test,N1_baseline,none,none,none,0.0,0.0,0.9000,-5.0000,varied
14,0,0.0,0.0,0.0,0.0,0.0558,1.0927,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,0.9000,-5.0000,varied
15,0,0.0,0.0,0.0,0.0,1.3953,-1.2844,0.02,high,test,N1_baseline,none,none,none,0.0,0.0,1.0000,0.0000,varied
16,0,0.0,0.0,0.0,0.0,-1.1068,0.0927,0.02,medium,test,N1_baseline,none,none,none,0.0,0.0,1.0500,-10.0000,varied
17,0,0.0,0.0,0.0,0.0,-0.8213,0.1223,0.02,low,test,N1_baseline,none,none,none,0.0,0.0,0.9500,15.0000,varied
18,0,0.0,0.0,0.0,0.0,0.6015,0.0218,0.02,high,train,N1_baseline,none,none,none,0.0,0.0,0.9500,15.0000,varied
19,0,0.0,0.0,0.0,0.0,-1.6099,1.045,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,0.9500,0.0000,varied
20,0,0.0,0.0,0.0,0.0,0.3525,1.5909,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,1.1000,0.0000,varied
21,0,0.0,0.0,0.0,0.0,-1.8051,-0.8436,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,1.0500,-5.0000,varied
22,0,0.0,0.0,0.0,0.0,-1.1662,-0.0733,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,1.0000,0.0000,baseline_nominal
23,0,0.0,0.0,0.0,0.0,0.0692,1.7879,0.02,high,train,N1_baseline,none,none,none,0.0,0.0,0.9500,-5.0000,varied
24,0,0.0,0.0,0.0,0.0,1.8401,0.798,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,1.0000,10.0000,varied
25,0,0.0,0.0,0.0,0.0,1.4805,0.3291,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,1.0500,10.0000,varied
26,0,0.0,0.0,0.0,0.0,-0.7683,0.0776,0.02,high,test,N1_baseline,none,none,none,0.0,0.0,1.0000,5.0000,varied
27,0,0.0,0.0,0.0,0.0,-0.2971,1.2583,0.02,high,test,N1_baseline,none,none,none,0.0,0.0,1.0500,-10.0000,varied
28,0,0.0,0.0,0.0,0.0,0.9161,0.245,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,1.0000,15.0000,varied
29,0,0.0,0.0,0.0,0.0,1.455,-0.8604,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,1.0500,15.0000,varied
30,0,0.0,0.0,0.0,0.0,0.5766,-0.477,0.02,medium,test,N1_baseline,none,none,none,0.0,0.0,0.9000,5.0000,varied
31,0,0.0,0.0,0.0,0.0,-0.8558,1.8324,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,1.0000,0.0000,baseline_nominal
32,0,0.0,0.0,0.0,0.0,1.4356,-0.5092,0.02,high,test,N1_baseline,none,none,none,0.0,0.0,0.9500,15.0000,varied
33,0,0.0,0.0,0.0,0.0,-1.006,-0.2001,0.02,high,train,N1_baseline,none,none,none,0.0,0.0,1.0000,-15.0000,varied
34,0,0.0,0.0,0.0,0.0,-1.8458,1.1204,0.02,high,train,N1_baseline,none,none,none,0.0,0.0,1.0500,5.0000,varied
35,0,0.0,0.0,0.0,0.0,-0.1678,-0.7666,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,1.0500,0.0000,varied
36,0,0.0,0.0,0.0,0.0,0.914,0.4065,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,1.0000,0.0000,baseline_nominal
37,0,0.0,0.0,0.0,0.0,1.778,-0.1436,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,0.9000,5.0000,varied
38,0,0.0,0.0,0.0,0.0,-0.4609,1.4388,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,0.9000,10.0000,varied
39,0,0.0,0.0,0.0,0.0,0.1876,1.1916,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,1.0500,5.0000,varied
40,0,0.0,0.0,0.0,0.0,-0.3693,-1.7785,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,1.1000,-5.0000,varied
41,0,0.0,0.0,0.0,0.0,-0.9963,-1.8156,0.02,high,train,N1_baseline,none,none,none,0.0,0.0,0.9000,0.0000,varied
42,0,0.0,0.0,0.0,0.0,-0.5018,1.8029,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,0.9500,5.0000,varied
43,0,0.0,0.0,0.0,0.0,-1.5398,0.4363,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,1.0000,0.0000,baseline_nominal
44,0,0.0,0.0,0.0,0.0,1.3394,-1.5808,0.02,high,val,N1_baseline,none,none,none,0.0,0.0,1.0500,-5.0000,varied
45,0,0.0,0.0,0.0,0.0,1.956,0.1982,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,1.1000,0.0000,varied
46,0,0.0,0.0,0.0,0.0,1.1353,0.5393,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,0.9000,-15.0000,varied
47,0,0.0,0.0,0.0,0.0,-1.546,1.8979,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,1.0000,15.0000,varied
48,0,0.0,0.0,0.0,0.0,-1.93,1.5663,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,1.0000,-15.0000,varied
49,0,0.0,0.0,0.0,0.0,-0.7961,-1.0118,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,1.0000,-10.0000,varied
50,0,0.0,0.0,0.0,0.0,-0.0216,-1.0877,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,0.9000,-10.0000,varied
51,0,0.0,0.0,0.0,0.0,0.7029,-1.8212,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,1.0500,-10.0000,varied
52,0,0.0,0.0,0.0,0.0,1.2924,-1.8955,0.02,high,train,N1_baseline,none,none,none,0.0,0.0,1.1000,5.0000,varied
53,0,0.0,0.0,0.0,0.0,1.3866,0.2447,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,1.0500,-15.0000,varied
54,0,0.0,0.0,0.0,0.0,-0.3193,-0.547,0.02,high,train,N1_baseline,none,none,none,0.0,0.0,1.1000,15.0000,varied
55,0,0.0,0.0,0.0,0.0,-1.6276,1.8866,0.02,low,val,N1_baseline,none,none,none,0.0,0.0,0.9500,-15.0000,varied
56,0,0.0,0.0,0.0,0.0,1.9368,-0.6664,0.02,high,train,N1_baseline,none,none,none,0.0,0.0,0.9000,15.0000,varied
57,0,0.0,0.0,0.0,0.0,-1.6506,-1.0781,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,0.9000,-10.0000,varied
58,0,0.0,0.0,0.0,0.0,-0.5396,-0.1952,0.02,high,val,N1_baseline,none,none,none,0.0,0.0,0.9000,-15.0000,varied
59,0,0.0,0.0,0.0,0.0,1.6961,-1.3685,0.02,low,test,N1_baseline,none,none,none,0.0,0.0,1.1000,-5.0000,varied
60,0,0.0,0.0,0.0,0.0,-0.7965,-1.2522,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,0.9500,0.0000,varied
61,0,0.0,0.0,0.0,0.0,1.2979,-1.2746,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,1.1000,5.0000,varied
62,0,0.0,0.0,0.0,0.0,-1.865,-0.0436,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,1.0000,0.0000,varied
63,0,0.0,0.0,0.0,0.0,0.2158,-0.415,0.02,high,train,N1_baseline,none,none,none,0.0,0.0,0.9000,-5.0000,varied
64,0,0.0,0.0,0.0,0.0,-0.4836,0.2684,0.02,low,val,N1_baseline,none,none,none,0.0,0.0,1.0000,-15.0000,varied
65,0,0.0,0.0,0.0,0.0,-1.1254,-1.8744,0.02,high,val,N1_baseline,none,none,none,0.0,0.0,0.9500,5.0000,varied
66,0,0.0,0.0,0.0,0.0,-1.3828,-1.4652,0.02,high,train,N1_baseline,none,none,none,0.0,0.0,1.0500,-15.0000,varied
67,0,0.0,0.0,0.0,0.0,0.1834,1.4354,0.02,high,train,N1_baseline,none,none,none,0.0,0.0,0.9500,0.0000,varied
68,0,0.0,0.0,0.0,0.0,-0.9625,-1.8266,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,0.9500,15.0000,varied
69,0,0.0,0.0,0.0,0.0,-0.815,1.2363,0.02,high,test,N1_baseline,none,none,none,0.0,0.0,0.9000,10.0000,varied
70,0,0.0,0.0,0.0,0.0,1.7099,1.4897,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,0.9000,5.0000,varied
71,0,0.0,0.0,0.0,0.0,-1.2577,-0.4536,0.02,low,val,N1_baseline,none,none,none,0.0,0.0,1.0000,10.0000,varied
72,0,0.0,0.0,0.0,0.0,-1.573,0.7374,0.02,medium,val,N1_baseline,none,none,none,0.0,0.0,0.9500,0.0000,varied
73,0,0.0,0.0,0.0,0.0,0.5708,0.1545,0.02,high,train,N1_baseline,none,none,none,0.0,0.0,0.9500,-15.0000,varied
74,0,0.0,0.0,0.0,0.0,-1.1912,1.1382,0.02,low,test,N1_baseline,none,none,none,0.0,0.0,1.1000,0.0000,varied
75,0,0.0,0.0,0.0,0.0,0.2758,-1.7361,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,1.0500,-10.0000,varied
76,0,0.0,0.0,0.0,0.0,-0.7567,1.2759,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,0.9500,5.0000,varied
77,0,0.0,0.0,0.0,0.0,1.6764,0.5688,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,1.0000,5.0000,varied
78,0,0.0,0.0,0.0,0.0,-1.8073,0.7239,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,1.1000,5.0000,varied
79,0,0.0,0.0,0.0,0.0,0.0027,-0.1277,0.02,high,train,N1_baseline,none,none,none,0.0,0.0,0.9500,-10.0000,varied
80,0,0.0,0.0,0.0,0.0,0.0877,0.7976,0.02,low,val,N1_baseline,none,none,none,0.0,0.0,1.0000,15.0000,varied
81,0,0.0,0.0,0.0,0.0,-0.5783,-0.6366,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,1.1000,15.0000,varied
82,0,0.0,0.0,0.0,0.0,-0.8991,0.5569,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,1.0000,-10.0000,varied
83,0,0.0,0.0,0.0,0.0,-0.9718,0.7352,0.02,high,train,N1_baseline,none,none,none,0.0,0.0,1.1000,0.0000,varied
84,0,0.0,0.0,0.0,0.0,-1.8158,-0.519,0.02,medium,val,N1_baseline,none,none,none,0.0,0.0,1.0000,-5.0000,varied
85,0,0.0,0.0,0.0,0.0,0.4815,0.0358,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,1.0500,-10.0000,varied
86,0,0.0,0.0,0.0,0.0,-1.1896,-1.1716,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,0.9500,-5.0000,varied
87,0,0.0,0.0,0.0,0.0,0.6251,1.8196,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,1.1000,10.0000,varied
88,0,0.0,0.0,0.0,0.0,0.5902,0.0286,0.02,medium,train,N1_baseline,none,none,none,0.0,0.0,0.9500,-5.0000,varied
89,0,0.0,0.0,0.0,0.0,-0.0012,-0.9763,0.02,low,train,N1_baseline,none,none,none,0.0,0.0,0.9500,-15.0000,varied
90,0,0.0,0.0,0.0,0.0,-1.3878,-1.3693,0.02,medium,val,N1_baseline,none,none,none,0.0,0.0,0.9500,-5.0000,varied
91,0,0.0,0.0,0.0,0.0,-1.196,-0.6839,0.02,high,test,N1_baseline,none,none,none,0.0,0.0,1.0500,0.0000,varied
